"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"316990 Ubá";-;-;1;-;-;-;-;-;-;1;-;-;2
"317020 Uberlândia";1;-;1;2;-;-;-;-;-;-;-;-;4
"317070 Varginha";-;1;-;-;-;-;-;-;-;-;-;-;1
"317107 Veredinha";1;-;-;-;-;-;-;-;-;-;-;-;1
"317170 Virgínia";1;1;-;-;-;-;-;-;-;-;-;-;2
"320050 Apiacá";-;-;-;1;-;-;-;-;-;-;-;-;1
"330030 Barra do Piraí";-;1;-;-;-;-;-;-;-;-;-;-;1
"330040 Barra Mansa";-;-;1;-;-;-;-;-;-;-;-;-;1
"330045 Belford Roxo";33;3;-;-;-;1;-;-;-;-;-;1;38
"330060 Bom Jesus do Itabapoana";-;-;1;6;1;-;-;-;-;-;-;-;8
"330080 Cachoeiras de Macacu";-;-;-;-;1;-;-;-;-;-;-;-;1
"330100 Campos dos Goytacazes";1;-;3;1;2;-;-;-;-;-;-;1;8
"330160 Duas Barras";-;-;1;-;-;-;-;-;-;-;-;-;1
"330170 Duque de Caxias";9;7;3;4;1;-;-;-;-;-;-;-;24
"330180 Engenheiro Paulo de Frontin";1;1;1;-;-;-;-;-;-;-;-;-;3
"330185 Guapimirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"330200 Itaguaí";1;-;-;-;-;-;-;-;-;-;-;-;1
"330220 Itaperuna";-;1;-;-;-;-;-;-;-;-;-;-;1
"330240 Macaé";-;-;1;-;-;-;-;-;-;-;-;-;1
"330250 Magé";1;1;2;-;-;-;-;-;-;-;-;1;5
"330285 Mesquita";-;-;1;-;-;-;-;-;-;-;-;-;1
"330290 Miguel Pereira";1;-;-;-;-;-;-;-;-;-;-;-;1
"330340 Nova Friburgo";-;1;-;2;-;-;-;-;-;-;-;-;3
"330350 Nova Iguaçu";7;3;13;-;-;-;-;-;-;-;-;-;23
"330360 Paracambi";-;-;11;-;-;-;-;-;-;-;-;-;11
"330380 Paraty";1;1;1;1;-;-;-;-;-;-;-;-;4
"330390 Petrópolis";6;1;4;-;-;-;-;-;-;-;-;1;12
"330395 Pinheiral";-;1;-;-;-;-;-;-;-;-;-;-;1
"330410 Porciúncula";1;-;-;-;-;-;-;-;-;-;-;-;1
"330412 Quatis";-;-;-;-;-;-;-;-;-;-;-;1;1
"330420 Resende";-;-;1;-;-;-;-;-;-;-;-;1;2
"330430 Rio Bonito";-;-;1;-;-;-;-;-;-;-;-;-;1
"330440 Rio Claro";-;-;-;-;-;-;-;-;-;-;-;1;1
"330450 Rio das Flores";-;-;1;1;-;-;-;-;-;-;-;-;2
"330452 Rio das Ostras";-;-;-;1;-;-;-;-;-;-;-;-;1
"330455 Rio de Janeiro";18;12;7;8;6;2;-;-;-;-;-;2;55
"330490 São Gonçalo";-;3;5;-;1;-;-;-;-;-;-;1;10
"330510 São João de Meriti";3;1;2;2;1;-;-;-;-;-;-;-;9
"330520 São Pedro da Aldeia";-;1;-;-;-;-;-;-;-;-;-;-;1
"330540 Sapucaia";-;-;2;-;-;-;-;-;-;-;-;-;2
"330575 Tanguá";2;1;-;-;-;-;-;-;-;-;-;-;3
"330580 Teresópolis";-;-;1;1;-;-;-;-;-;-;-;-;2
