LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"351907 Hortolândia";1;-;-;1;-;-;-;-;-;-;-;-;2
"352040 Ilhabela";-;-;-;1;-;-;-;-;-;-;-;-;1
"352050 Indaiatuba";-;-;-;-;-;-;-;-;-;-;1;-;1
"352210 Itanhaém";1;-;-;1;-;-;-;-;-;-;-;-;2
"352220 Itapecerica da Serra";1;-;-;-;-;-;1;-;-;1;-;-;3
"352240 Itapeva";-;-;-;-;-;-;-;-;-;1;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;1;-;-;1;-;1;-;-;3
"352340 Itatiba";-;-;1;-;-;-;-;-;-;-;-;-;1
"352440 Jacareí";1;-;1;-;-;-;-;-;-;-;1;-;3
"352590 Jundiaí";-;-;-;-;-;1;-;-;-;-;-;-;1
"352670 Leme";-;-;-;-;-;1;-;1;-;-;-;-;2
"352690 Limeira";1;-;-;-;-;-;-;-;-;-;-;-;1
"352710 Lins";-;1;-;-;-;-;-;-;-;-;-;-;1
"352940 Mauá";-;-;-;1;1;-;-;-;-;-;-;-;2
"353060 Mogi das Cruzes";-;1;-;-;-;-;-;-;-;-;-;1;2
"353080 Mogi Mirim";-;-;-;-;-;-;-;1;-;-;-;-;1
"353130 Monte Alto";-;-;-;-;-;-;-;-;-;1;-;-;1
"353440 Osasco";-;-;-;-;-;-;-;2;2;1;-;-;5
"353620 Pariquera-Açu";1;2;-;-;-;-;-;-;-;-;-;-;3
"353650 Paulínia";-;-;-;-;-;-;-;-;-;-;-;1;1
"353780 Piedade";-;-;-;-;-;-;-;-;1;-;-;-;1
"353800 Pindamonhangaba";1;-;-;-;-;-;-;-;-;-;-;-;1
"353870 Piracicaba";-;-;2;1;2;-;-;-;1;-;-;-;6
"354060 Porto Feliz";-;-;-;-;-;-;-;-;-;1;-;-;1
"354100 Praia Grande";-;-;1;-;-;-;-;-;-;-;-;-;1
"354340 Ribeirão Preto";-;-;-;-;-;1;-;-;-;-;-;-;1
"354390 Rio Claro";-;-;-;-;-;-;-;-;1;-;-;-;1
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;-;-;-;1;-;1
"354780 Santo André";1;-;-;-;-;-;-;-;-;1;-;-;2
"354800 Santo Antônio de Posse";-;1;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";2;-;1;1;-;-;1;-;-;2;2;2;11
"354870 São Bernardo do Campo";2;1;1;1;2;-;-;-;-;1;-;1;9
"354880 São Caetano do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"354890 São Carlos";-;-;-;-;-;-;-;-;1;-;-;1;2
"354910 São João da Boa Vista";-;-;-;-;1;-;-;-;-;1;-;-;2
"354980 São José do Rio Preto";1;1;-;-;2;-;-;-;-;-;-;-;4
"354990 São José dos Campos";1;-;1;1;1;-;-;-;-;-;-;2;6
"355030 São Paulo";21;16;15;9;5;8;7;9;4;8;11;11;124
"355060 São Roque";-;-;1;-;-;2;-;-;-;1;-;-;4
"355100 São Vicente";-;-;-;-;-;-;1;-;1;1;-;-;3
"355210 Socorro";-;-;-;-;-;-;-;-;-;-;-;1;1
"355220 Sorocaba";1;1;-;1;-;-;-;-;1;-;-;-;4
"355240 Sumaré";1;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;-;-;-;1;-;-;-;-;-;-;-;1
"355410 Taubaté";-;1;-;-;-;-;-;-;-;1;-;-;2
"355620 Valinhos";-;1;-;-;-;-;-;-;-;-;-;-;1
"355710 Votuporanga";-;-;-;-;-;-;1;-;-;-;-;1;2
"410100 Ampére";-;-;-;1;-;-;-;-;-;-;-;-;1
"410140 Apucarana";-;-;3;-;-;-;-;-;-;-;-;-;3
"410180 Araucária";-;1;-;-;-;-;1;1;1;-;-;-;4
"410275 Bela Vista da Caroba";-;-;-;-;-;-;-;1;-;-;-;-;1
"410322 Bom Sucesso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"410400 Campina Grande do Sul";-;1;1;-;-;-;-;-;2;-;-;1;5
"410420 Campo Largo";-;1;-;-;-;-;-;-;1;-;-;-;2
"410460 Capitão Leônidas Marques";-;-;-;-;-;1;-;-;-;-;-;-;1
"410465 Carambeí";1;-;-;-;-;-;-;-;-;-;-;-;1
