 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"312340 DORESOPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"312390 ENTRE RIOS DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"312400 ERVALIA";-;1;1;-;-;1;-;1;-;-;-;-;4
"312510 EXTREMA";-;-;1;-;1;-;-;-;-;1;1;1;5
"312600 FLORESTAL";-;-;1;-;-;-;-;1;-;-;1;-;3
"312610 FORMIGA";1;-;-;-;1;-;1;2;-;-;1;2;8
"312650 FRANCISCO BADARO";-;1;-;-;-;-;-;-;-;-;-;-;1
"312690 FREI INOCENCIO";-;-;1;-;2;4;3;3;2;1;-;1;17
"312710 FRUTAL";-;-;-;-;-;1;-;-;-;-;-;-;1
"312750 GONZAGA";-;-;-;-;-;-;1;-;-;-;-;-;1
"312770 GOVERNADOR VALADARES";1;-;1;-;-;-;-;-;-;-;-;-;2
"312820 GUARACIABA";-;-;-;-;-;-;-;1;-;-;-;1;2
"312950 IBIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"313020 IGARATINGA";1;1;-;-;-;-;-;-;1;-;-;1;4
"313030 IGUATAMA";-;-;1;4;-;1;3;1;1;-;1;2;14
"313090 INHAPIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"313115 IPABA";-;-;-;-;-;1;2;-;1;-;1;-;5
"313130 IPATINGA";33;39;42;38;48;40;42;24;35;35;30;13;419
"313220 ITAGUARA";-;-;-;-;-;-;1;-;-;-;-;-;1
"313240 ITAJUBA";1;-;-;-;-;-;-;-;-;-;-;-;1
"313320 ITANHOMI";-;-;-;-;-;-;1;-;1;-;1;-;3
"313370 ITATIAIUCU";2;-;-;-;4;2;3;2;-;-;-;-;13
"313380 ITAUNA";-;-;1;-;-;2;2;4;3;2;2;2;18
"313390 ITAVERAVA";-;-;-;-;-;-;-;2;2;-;-;2;6
"313460 JABOTICATUBAS";-;-;-;-;1;-;1;4;-;-;1;-;7
"313500 JAGUARACU";-;-;-;-;2;1;-;-;1;1;-;-;5
"313520 JANUARIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"313535 JAPONVAR";-;-;-;-;-;-;-;-;-;-;-;1;1
"313540 JECEABA";-;-;-;-;-;-;-;1;-;-;-;-;1
"313550 JEQUERI";-;-;2;-;-;-;1;1;-;1;1;-;6
"313610 JOANESIA";3;5;1;3;1;-;4;1;1;5;2;-;26
"313620 JOAO MONLEVADE";1;1;-;-;-;-;-;-;-;-;-;-;2
"313665 JUATUBA";-;1;-;-;-;1;1;-;-;2;-;-;5
"313670 JUIZ DE FORA";-;-;1;1;1;3;2;-;1;-;2;2;13
"313750 LAGOA FORMOSA";-;-;1;-;-;-;-;-;-;-;-;-;1
"313868 LUISLANDIA";-;-;-;-;1;-;1;-;-;-;-;-;2
"313920 MALACACHETA";4;5;5;13;6;4;6;7;2;2;1;3;58
"313940 MANHUACU";-;-;1;-;-;-;-;-;-;-;-;-;1
"313950 MANHUMIRIM";-;-;-;-;-;-;-;-;2;-;-;-;2
"314000 MARIANA";-;-;-;-;-;1;-;-;-;-;-;-;1
"314030 MARLIERIA";1;-;-;-;-;1;-;-;-;-;-;-;2
"314200 MIRABELA";1;-;-;1;1;1;2;-;3;3;8;3;23
"314210 MIRADOURO";-;-;-;-;-;-;-;-;-;2;1;-;3
"314225 MIRAVANIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"314240 MOEMA";-;-;1;-;1;-;-;-;-;-;-;-;2
"314430 NANUQUE";2;-;-;-;-;-;1;-;-;-;-;-;3
"314435 NAQUE";-;-;-;-;-;-;-;2;-;1;-;1;4
"314490 NOVA MODICA";-;-;-;-;-;1;1;-;-;-;-;-;2
"314520 NOVA SERRANA";7;7;7;9;6;8;5;14;5;6;7;11;92
"314585 ORATORIOS";-;1;-;-;-;-;-;-;-;-;1;-;2
"314590 OURO BRANCO";-;-;-;-;-;-;-;-;-;1;-;-;1
"314710 PARA DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"314770 PASSA TEMPO";-;-;-;1;-;-;1;-;-;-;-;-;2
"314790 PASSOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"314795 PATIS";-;-;5;4;-;-;-;-;-;-;-;-;9
"314800 PATOS DE MINAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"314830 PAULA CANDIDO";-;-;-;-;1;-;-;-;-;-;-;-;1
